TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2024,25.2,33.8,30.3,76,1.7,9999,3,296,1,NW
02-03-2024,26.4,29.8,27.4,90,1.4,10.7,3,147,0,C 
03-03-2024,25.2,32.6,29.4,81,32.5,5.8,3,90,1,C 
04-03-2024,26,31.4,29.5,81,0.2,8.3,3,290,1,C 
05-03-2024,24.8,33.4,30.4,76,90.3,8.1,2,294,0,C 
06-03-2024,25.8,32.5,30,82,10.6,10.7,3,172,1,C 
07-03-2024,25.2,33.8,29.9,81,1.6,8.9,2,124,1,C 
08-03-2024,24.4,32,28.7,81,59,9.2,3,278,1,W 
09-03-2024,25,30.7,28.7,85,12.1,9.1,3,126,1,C 
10-03-2024,25.2,33.4,30.5,74,8888,7.7,3,115,1,W 
11-03-2024,25.3,31.8,28,84,14.9,9.4,2,302,1,NW
12-03-2024,25.1,33,30.2,73,1.8,7.3,4,287,2,NW
13-03-2024,24.2,32.2,29.4,78,2,9.5,3,302,2,W 
14-03-2024,25.8,33.4,30.6,75,0,9999,4,302,2,W 
15-03-2024,26,33.8,30.6,74,6,9999,4,257,2,N 
16-03-2024,25.6,32.6,29.3,81,0.5,9999,3,180,1,C 
17-03-2024,25.7,33.2,29.1,81,6,6.6,4,279,1,C 
18-03-2024,24.7,32,28.4,85,40.4,7.9,2,260,0,C 
19-03-2024,25.6,33.9,31.2,75,46,7.1,2,270,1,C 
20-03-2024,25.2,31.8,29.3,78,4.9,9.4,2,350,1,C 
21-03-2024,26,33.4,29.4,83,-,9.3,4,98,2,C 
22-03-2024,25.3,33.2,30.8,76,15.5,10.7,3,52,1,NE
23-03-2024,25.7,34.4,31.2,73,5.2,10.8,2,119,0,C 
24-03-2024,26.2,34.4,31.8,70,0.8,9.3,1,126,0,C 
25-03-2024,26.8,35.2,31.7,72,1.8,9.5,4,45,1,C 
26-03-2024,26.4,33.4,29.9,78,0,9.2,2,97,0,C 
27-03-2024,26.2,31.8,27.6,88,1.5,9,1,200,0,C 
28-03-2024,25,31.9,28.9,82,53.4,5.1,3,50,1,C 
29-03-2024,25.6,33.4,29.9,78,8888,9.5,1,116,0,C 
30-03-2024,26.2,34.8,30.6,75,0.9,9.3,3,50,0,C 
31-03-2024,25.8,34,30.3,75,3.2,8.1,3,57,0,C 
